interval,output,model_id,model_label,model_theory,model_colour,timbre_label
0,114.64197803179923,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.015015015015015015,114.57529123667805,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.03003003003003003,114.51678380785062,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.04504504504504504,114.4667733337242,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.06006006006006006,114.42555829948179,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.07507507507507508,114.3934132556333,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.09009009009009009,114.37058367004325,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.10510510510510511,114.35728052533497,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.12012012012012012,114.3536747431574,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.13513513513513514,114.35989153718647,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.15015015015015015,114.37600481702107,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.16516516516516516,114.40203178419732,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.18018018018018017,114.437927878051,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.19519519519519518,114.48358224165995,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.21021021021021022,114.53881388505785,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.22522522522522523,114.603368722888,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.24024024024024024,114.67691765542054,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.2552552552552553,114.75905584451135,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.2702702702702703,114.84930330928488,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.2852852852852853,114.94710693037644,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.3003003003003003,115.05184390751396,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.3153153153153153,115.16282666487042,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.3303303303303303,115.27930914446769,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.34534534534534533,115.40049437306845,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.36036036036036034,115.52554313583624,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.37537537537537535,115.6535835440579,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.39039039039039036,115.78372124758447,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.40540540540540543,115.91505001796804,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.42042042042042044,116.04666241728914,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.43543543543543545,116.17766027111823,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.45045045045045046,116.30716468154246,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.46546546546546547,116.43432534628091,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.4804804804804805,116.55832899031606,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.4954954954954955,116.67840676421555,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.5105105105105106,116.79384051518598,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.5255255255255256,116.90396788958542,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.5405405405405406,117.00818627616668,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.5555555555555556,117.1059556452023,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.5705705705705706,117.19680037799199,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.5855855855855856,117.28031021282413,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.6006006006006006,117.35614045665332,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.6156156156156156,117.42401162643034,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.6306306306306306,117.48370869042616,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.6456456456456456,117.53508007848524,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.6606606606606606,117.5780366214444,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.6756756756756757,117.6125505645263,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.6906906906906907,117.6386547778204,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.7057057057057057,117.65644225948691,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.7207207207207207,117.66606599454468,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.7357357357357357,117.66773919463144,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.7507507507507507,117.66173590279149,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.7657657657657657,117.64839190327167,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.7807807807807807,117.62810583101327,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.7957957957957957,117.60134033092481,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.8108108108108109,117.56862307540119,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.8258258258258259,117.53054741251619,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.8408408408408409,117.48777238959215,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.8558558558558559,117.44102188016278,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.8708708708708709,117.39108253916397,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.8858858858858859,117.33880032349626,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.9009009009009009,117.2850753441861,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
0.9159159159159159,117.2308548626295,MaMi.CoDi,mami.codi.m.1.t.2.h.3.l.-1.r.550,periodicity,#664433,harmonic
