"participant_id","musical_exp","v1","rating"
1,3,12.2846,5
23,2,1.8032,1
3,2,2.801,7
10,0,11.9512,5
10,0,5.5854,1
9,0,0.6697,2
1,3,1.0771,3
4,3,2.9193,1
1,3,3.9114,5
9,0,14.0937,3
10,0,4.0975,5
9,0,7.7395,2
10,0,4.4247,3
3,2,2.0174,7
1,3,1.2566,4
1,3,5.2275,4
1,3,11.1543,4
9,0,5.6311,5
3,2,10.3981,6
3,2,1.6309,6
9,0,5.2163,7
4,3,3.9672,1
41,0,5.177,7
1,3,1.1572,4
3,2,6.8389,6
4,3,6.0291,1
9,0,8.2234,3
4,3,5.4596,2
4,3,4.3245,6
9,0,0.8489,1
1,3,8.3502,3
4,3,3.9957,2
23,2,0.1009,6
4,3,4.5931,2
4,3,11.4591,5
4,3,6.4267,5
4,3,9.1843,2
31,0,8.6601,1
9,0,1.9428,1
1,3,10.9415,1
4,3,4.2204,2
9,0,8.1895,4
9,0,2.4811,5
4,3,0.6023,5
9,0,3.5576,4
4,3,7.7557,3
1,3,3.3415,2
4,3,0.7161,6
23,2,7.1981,7
4,3,0.0549,6
1,3,13.0406,3
4,3,11.734,2
4,3,10.5351,1
1,3,10.9318,4
9,0,11.8117,3
1,3,1.0856,2
1,3,2.3876,4
9,0,9.2206,6
3,2,13.7793,6
4,3,14.4844,2
4,3,11.3101,3
9,0,4.2319,2
4,3,13.2991,1
4,3,5.171,5
9,0,14.0633,4
1,3,10.1316,3
3,2,14.9969,7
41,0,6.4784,6
23,2,14.2273,2
9,0,8.6534,4
9,0,8.4687,5
9,0,5.0666,2
9,0,5.7645,6
3,2,13.201,6
10,0,13.5078,5
9,0,12.5577,4
1,3,8.3283,4
1,3,4.8487,5
4,3,12.5818,3
3,2,0.0837,7
3,2,6.8102,6
3,2,8.6383,7
4,3,4.8044,2
9,0,4.2562,2
23,2,9.7789,2
4,3,3.3918,2
1,3,8.879,5
9,0,8.4255,5
4,3,5.9432,3
3,2,11.0911,7
1,3,13.1117,3
3,2,14.7627,6
9,0,0.0775,2
3,2,13.4158,7
1,3,2.1798,3
4,3,0.8218,1
1,3,4.5898,5
9,0,14.1864,4
1,3,3.7765,5
1,3,1.8505,5
1,3,0.2207,3
9,0,14.7156,4
23,2,12.6433,7
1,3,5.1838,5
3,2,4.9989,6
10,0,10.8595,3
9,0,11.1953,5
4,3,6.384,2
9,0,12.921,3
9,0,11.307,4
4,3,11.0301,5
9,0,1.3574,1
3,2,8.4912,7
23,2,4.4032,6
3,2,0.6584,7
9,0,0.5885,2
4,3,2.1418,2
1,3,2.7555,5
9,0,13.2001,4
3,2,11.2988,7
9,0,0.7062,1
9,0,13.4967,4
9,0,7.5847,6
9,0,14.0715,6
9,0,2.4323,2
9,0,2.1717,2
23,2,6.453,5
3,2,1.5115,7
23,2,2.7909,2
4,3,2.5678,3
1,3,11.4435,5
3,2,2.8298,7
3,2,12.851,6
23,2,14.568,7
10,0,9.2656,3
3,2,8.4945,6
4,3,10.037,2
10,0,8.5913,2
10,0,10.6039,3
10,0,11.2909,3
9,0,5.4446,5
9,0,11.1617,3
1,3,7.0059,5
9,0,4.8121,5
9,0,3.173,1
9,0,0.5017,7
1,3,13.8701,2
23,2,7.4274,7
3,2,3.1299,7
4,3,1.2576,2
9,0,5.0468,2
9,0,12.1285,3
9,0,9.1056,2
10,0,10.2171,3
10,0,5.572,5
1,3,2.1846,4
4,3,5.1065,6
1,3,13.3719,5
40,2,9.543,4
10,0,6.3604,3
1,3,11.6156,4
1,3,2.7458,5
1,3,1.4887,3
3,2,10.7714,7
1,3,8.3573,5
9,0,10.0433,3
4,3,11.9025,1
1,3,5.0528,3
3,2,1.1382,7
9,0,6.9461,4
1,3,11.8248,3
3,2,7.3435,7
4,3,7.0394,2
1,3,0.9775,3
3,2,8.767,7
4,3,14.7629,2
1,3,0.2134,5
1,3,8.0225,5
3,2,14.3766,7
23,2,8.9616,1
4,3,14.5146,6
10,0,0.83,4
4,3,0.2635,1
23,2,10.0112,6
3,2,13.6348,6
1,3,0.6242,5
1,3,11.0241,4
1,3,10.9874,3
1,3,14.9737,3
3,2,3.2545,6
4,3,1.872,6
71,5,9e-04,3
4,3,8.764,6
9,0,14.5625,3
9,0,3.7154,5
3,2,0.9413,7
4,3,7.9411,3
1,3,3.0465,4
10,0,0.7578,5
3,2,4.404,7
4,3,3.2003,4
9,0,9.1271,4
4,3,12.4747,3
3,2,8.834,6
4,3,7.7398,6
1,3,10.5656,3
3,2,11.1601,6
10,0,7.2228,3
4,3,1.6948,5
41,0,8.6959,2
1,3,5.7973,4
10,0,9.2557,4
23,2,0.5274,1
23,2,6.6104,7
31,0,11.1153,3
25,3,2.662,3
23,2,10.3472,1
25,3,7.6844,5
23,2,6.6123,6
25,3,8.7669,1
25,3,13.7106,2
10,0,7.46,5
10,0,9.5498,3
4,3,1.1017,6
1,3,9.4088,3
23,2,12.7657,1
23,2,9.7567,3
10,0,3.733,5
10,0,12.534,3
31,0,14.066,5
25,3,5.51,2
25,3,9.7043,3
23,2,4.888,7
25,3,12.9148,1
3,2,0.0948,6
4,3,8.7105,6
25,3,2.0413,3
10,0,1.4315,3
10,0,14.3809,3
23,2,1.9502,5
53,2,3.0727,3
23,2,13.7289,7
25,3,13.3972,2
25,3,9.2924,5
1,3,7.7829,3
1,3,5.9355,4
23,2,9.4432,7
23,2,4.9037,7
31,0,7.5586,5
25,3,1.664,1
31,0,13.1067,6
25,3,4.275,3
31,0,13.3745,7
4,3,8.9123,6
3,2,12.7492,7
40,2,11.8188,6
31,0,2.1453,5
40,2,0.6305,5
41,0,11.0739,6
25,3,3.6955,1
41,0,9.5947,6
10,0,2.9536,5
25,3,13.6191,1
25,3,14.9217,1
3,2,8.9915,6
10,0,14.6052,3
41,0,9.5209,5
3,2,14.2607,7
40,2,0.4319,5
3,2,14.4189,7
10,0,3.5119,2
41,0,6.515,2
10,0,0.0316,3
41,0,2.7469,5
53,2,1.6285,3
40,2,9.7704,6
25,3,9.7851,3
