"participant_id","musical_exp","v1","rating"
6,2,7.4171,7
6,2,14.8106,7
6,2,1.7324,6
5,5,14.6459,4
5,5,0.04,5
6,2,1.4234,7
5,5,14.5971,3
6,2,2.1761,6
6,2,11.2796,7
6,2,7.4707,6
5,5,14.1027,3
5,5,1.2492,1
5,5,1.8673,2
6,2,10.621,6
5,5,9.6143,5
5,5,4.8107,3
16,0,14.0974,5
9,2,9.4335,4
6,2,8.8105,7
16,0,2.7666,3
6,2,11.9695,6
9,2,12.8756,6
6,2,4.6334,7
15,3,14.7393,5
16,0,12.2355,5
16,0,9.5698,2
5,5,8.6707,5
6,2,8.4687,7
6,2,14.2104,7
5,5,8.5142,5
5,5,13.6075,4
5,5,5.3306,3
9,2,0.8961,1
5,5,12.4713,2
16,0,3.7797,5
6,2,1.6549,7
5,5,1.5544,2
9,2,7.7127,3
16,0,5.1474,4
9,2,0.7745,5
6,2,9.2951,6
5,5,11.3641,3
93,1,13.1788,5
9,2,3.9056,6
5,5,5.5766,3
16,0,2.7636,2
16,0,4.2028,4
5,5,11.1543,3
9,2,4.0609,6
5,5,2.379,2
5,5,11.4593,3
16,0,11.9259,4
13,2,5.8136,7
5,5,7.2952,5
6,2,5.532,7
5,5,8.1895,3
5,5,2.5273,5
16,0,6.6685,3
14,1,12.2047,2
5,5,13.4509,2
5,5,2.8774,5
16,0,2.9029,5
5,5,6.6929,4
5,5,12.0433,5
13,2,12.4751,6
5,5,8.6637,5
6,2,6.686,7
13,2,1.0249,7
13,2,11.2286,6
5,5,6.4255,3
6,2,7.791,6
9,2,4.4181,4
6,2,9.7778,7
9,2,13.2693,6
6,2,3.4605,6
5,5,2.8792,4
16,0,2.5726,2
5,5,14.8343,5
5,5,9.5395,3
5,5,7.7017,3
5,5,12.0224,5
6,2,8.1053,6
5,5,10.3299,5
13,2,11.9878,5
16,0,10.8105,4
16,0,3.2545,3
14,1,8.0588,5
6,2,12.3667,6
13,2,10.8226,7
14,1,2.8279,4
5,5,2.7796,4
5,5,13.2957,5
6,2,13.6089,7
9,2,3.2493,5
5,5,13.3422,4
19,0,6.8982,7
6,2,14.4822,7
5,5,12.8553,3
5,5,12.1272,6
16,0,3.1104,4
5,5,0.5515,5
5,5,6.453,5
9,2,0.3049,7
5,5,12.7048,3
9,2,13.8982,5
9,2,2.921,2
5,5,12.6779,5
9,2,10.2304,4
9,2,6.365,5
9,2,2.0436,5
5,5,1.7396,2
9,2,14.9601,6
5,5,11.2934,5
14,1,13.4119,2
5,5,12.6652,4
5,5,2.3397,2
14,1,8.6233,5
9,2,7.9792,2
9,2,13.7711,5
6,2,14.3338,7
6,2,11.2079,7
6,2,5.5285,7
9,2,12.2696,4
6,2,13.1883,6
6,2,9.4175,7
9,2,4.3662,4
6,2,10.4041,6
6,2,14.0966,6
9,2,6.9602,7
5,5,9.1056,3
9,2,7.4469,4
16,0,1.1062,1
9,2,5.1377,3
9,2,3.0841,2
9,2,11.8893,6
6,2,7.505,6
6,2,2.2663,6
6,2,6.6123,7
6,2,8.9147,7
6,2,7.1661,7
9,2,5.6876,3
6,2,9.3901,7
9,2,9.3322,6
9,2,14.367,5
9,2,3.3155,2
9,2,10.0751,4
6,2,0.6799,5
6,2,6.9729,7
9,2,12.6604,6
9,2,2.7973,3
6,2,5.1854,7
9,2,9.1117,1
5,5,14.7123,3
5,5,12.7179,3
16,0,3.9938,4
9,2,4.9587,4
9,2,6.8264,5
9,2,1.7199,1
9,2,13.0194,6
9,2,7.5399,2
6,2,10.8116,6
9,2,13.2893,5
6,2,2.0345,6
6,2,14.5863,6
6,2,13.4413,7
9,2,0.7837,1
9,2,13.2475,4
9,2,5.0127,3
9,2,6.171,2
9,2,8.4306,3
9,2,10.0434,3
6,2,9.2336,7
9,2,2.686,2
6,2,11.2598,7
6,2,9.5551,6
14,1,5.3523,6
6,2,8.2469,6
6,2,6.2273,6
6,2,3.2291,6
14,1,9.3331,4
14,1,8.9723,5
9,2,8.6193,5
14,1,12.8524,2
9,2,0.946,2
9,2,11.856,3
14,1,13.4815,4
14,1,6.0926,4
14,1,1.5711,3
16,0,8.5589,5
14,1,9.9817,3
19,0,0.5321,5
19,0,8.8128,5
19,0,10.4035,5
19,0,8.1196,5
19,0,3.3897,4
13,2,9.3194,7
13,2,5.8581,7
15,3,10.2255,5
19,0,7.7442,5
13,2,13.3919,7
19,0,5.571,5
20,0,3.0766,6
16,0,3.0025,4
14,1,9.013,5
16,0,5.1972,3
39,12,11.4375,2
14,1,1.85,2
16,0,9.0385,5
15,3,13.4512,2
14,1,0.3629,5
13,2,6.5486,7
13,2,1.7448,7
19,0,14.8352,3
13,2,14.8676,6
19,0,3.7629,4
19,0,0.3617,3
14,1,1.7396,4
15,3,14.4096,4
15,3,3.6873,5
13,2,12.0129,6
16,0,6.148,4
16,0,14.0177,5
14,1,4.4667,4
13,2,1.0583,7
14,1,6.0018,3
13,2,4.9719,7
13,2,4.0069,7
19,0,8.3949,5
19,0,1.7398,3
13,2,9.8718,6
19,0,1.2576,3
13,2,14.9945,6
19,0,12.6611,3
20,0,6.0546,6
20,0,12.2587,5
16,0,9.2305,5
16,0,12.555,5
16,0,9.1522,5
14,1,10.4003,2
16,0,4.1503,4
16,0,12.375,5
14,1,1.075,1
14,1,0.1583,3
14,1,11.4914,4
13,2,10.0242,7
14,1,3.3231,4
15,3,14.0331,6
19,0,8.4906,5
15,3,3.3359,5
19,0,12.7937,5
14,1,4.3488,5
14,1,7.0851,5
16,0,11.3494,5
13,2,3.9969,7
16,0,1.6824,2
14,1,9.6971,4
16,0,11.2866,5
14,1,9.9009,5
43,2,6.4856,7
14,1,13.3972,4
14,1,2.4783,4
15,3,10.0311,3
14,1,11.0911,4
13,2,13.5703,6
15,3,13.5715,6
13,2,10.1641,6
13,2,13.3765,7
19,0,6.082,5
14,1,1.083,1
16,0,12.534,4
14,1,8.9695,5
16,0,4.004,2
16,0,4.0151,4
19,0,2.8046,3
14,1,6.682,4
19,0,6.882,6
16,0,9.5927,5
15,3,6.726,6
13,2,5.0571,7
14,1,13.4432,3
13,2,2.7337,7
20,0,14.671,5
13,2,5.8341,7
19,0,4.2645,4
13,2,1.7043,7
19,0,11.2472,3
20,0,14.8078,7
14,1,1.5106,2
15,3,12.3413,5
14,1,1.0725,1
16,0,7.381,5
14,1,13.457,5
14,1,3.4421,6
16,0,1.3142,1
16,0,4.3219,4
13,2,0.1596,7
16,0,8.8161,4
14,1,7.765,4
19,0,8.1765,5
19,0,1.9502,3
15,3,3.9114,5
14,1,10.7176,3
14,1,9.1364,5
13,2,8.3379,7
15,3,6.8609,2
16,0,13.8795,5
16,0,4.5254,3
14,1,10.5388,5
16,0,2.2586,1
16,0,9.3753,5
14,1,1.4288,3
19,0,4.7145,6
14,1,13.0148,4
19,0,13.7445,3
14,1,7.0899,4
19,0,9.1411,5
14,1,4.6411,5
