"participant_id","musical_exp","v1","rating"
7,7,0.9775,3
14,0,4.5983,3
12,2,8.8008,3
4,0,6.0691,4
3,0,1.3295,1
4,0,11.4956,6
9,3,13.7912,5
14,0,7.4699,5
13,3,5.9475,2
4,0,4.0726,5
7,7,0.0427,5
2,1,0.9799,5
12,2,7.8971,3
4,0,10.4234,6
2,1,9.5498,4
7,7,12.8928,3
12,2,1.0613,3
18,0,11.9433,2
7,7,7.5774,3
3,0,3.2003,3
14,0,6.8264,5
7,7,7.8836,2
7,7,10.4145,1
3,0,11.1761,3
14,0,14.5938,5
14,0,14.6511,4
3,0,5.1255,4
14,0,7.0327,3
7,7,0.345,5
24,8,0.8651,3
9,3,8.9934,2
3,0,14.0095,4
9,3,4.8744,6
3,0,0.9945,3
2,1,12.0212,4
3,0,1.5338,3
7,7,3.9539,1
3,0,4.6178,3
3,0,2.4952,3
13,3,7.6129,3
12,2,4.1245,3
13,3,3.7369,5
7,7,9.6938,1
4,0,5.2419,6
2,1,11.8879,3
1,2,6.4209,3
14,0,2.7796,2
14,0,12.1151,5
2,1,0.8304,7
4,0,0.3654,6
14,0,3.044,4
9,3,12.5343,7
12,2,10.9668,4
9,3,2.657,6
12,2,6.0137,4
12,2,5.4166,3
14,0,6.9293,3
7,7,6.0717,4
7,7,3.1102,4
2,1,6.1732,7
14,0,0.1577,1
9,3,1.9568,6
2,1,4.6158,5
2,1,5.7368,7
14,0,7.2228,4
7,7,6.3613,2
14,0,3.611,4
14,0,3.1556,4
7,7,2.9898,3
2,1,8.945,7
14,0,13.1802,5
4,0,10.6702,6
7,7,3.8174,4
9,3,0.2165,7
9,3,13.4967,7
9,3,14.8106,4
7,7,10.2233,1
4,0,13.0031,5
12,2,7.6275,3
4,0,0.1513,6
9,3,3.9971,7
3,0,1.5063,1
2,1,2.686,5
7,7,8.437,3
3,0,5.8057,4
7,7,9.1364,1
14,0,0.4586,2
14,0,9.4205,5
12,2,14.2498,3
3,0,1.3294,1
14,0,1.2002,2
14,0,1.6499,3
3,0,0.9383,3
14,0,0.0613,1
12,2,9.013,3
14,0,13.5106,6
9,3,2.1453,4
12,2,0.7108,2
3,0,11.6733,3
14,0,3.5315,1
3,0,11.4591,4
3,0,5.6781,3
12,2,10.3048,3
3,0,9.8308,3
4,0,14.4883,6
2,1,2.0265,6
3,0,5.6301,3
12,2,11.8929,2
4,0,6.2668,4
14,0,13.2409,6
12,2,8.5862,2
2,1,1.7999,5
2,1,8.4044,7
12,2,3.1752,3
9,3,13.5164,2
4,0,4.563,5
14,0,4.4747,2
7,7,4.9651,3
14,0,14.5545,5
12,2,11.1379,3
14,0,6.9281,6
3,0,11.83,3
14,0,1.0813,2
9,3,12.4051,7
9,3,3.4068,7
9,3,5.6964,6
14,0,4.111,3
12,2,1.0678,3
4,0,9.9006,5
9,3,1.941,3
12,2,4.1503,3
7,7,1.3132,2
9,3,11.2034,7
13,3,7.2103,2
9,3,5.8293,6
14,0,4.8932,5
2,1,2.8366,5
9,3,2.9728,5
14,0,8.4989,6
7,7,6.7357,3
13,3,8.5305,2
2,1,12.1647,7
12,2,11.3393,4
14,0,3.5905,3
4,0,7.1739,5
12,2,13.9775,2
4,0,3.2617,7
13,3,4.7563,3
3,0,9.676,3
13,3,7.399,5
3,0,8.7694,3
3,0,4.4372,4
1,2,12.8302,3
1,2,12.8143,3
18,0,13.6778,3
9,3,12.5018,6
3,0,7.7955,4
14,0,3.9515,5
13,3,10.8877,6
3,0,12.6142,3
4,0,8.0873,7
2,1,8.0145,5
17,0,10.0298,6
13,3,0.049,1
12,2,5.5935,3
2,1,13.8587,3
9,3,12.7656,7
