"participant_id","musical_exp","v1","rating"
2,0,8.3244,2
16,0,13.7937,3
2,0,11.9433,7
11,20,12.9943,2
9,3,7.662,7
2,0,7.9399,5
2,0,4.9442,3
3,1,13.2141,5
11,20,2.2863,5
17,3,8.783,5
9,3,0.7558,6
18,7,5.8244,3
2,0,12.4856,5
9,3,9.3307,6
16,0,2.3569,3
2,0,4.9651,3
14,0,6.3271,1
16,0,0.8541,7
3,1,3.7365,7
3,1,13.8887,6
16,0,0.5873,7
18,7,0.1754,7
17,3,10.0048,5
16,0,13.1464,7
2,0,4.8298,3
9,3,9.9798,6
3,1,1.1195,7
17,3,0.2336,6
18,7,7.5777,3
3,1,14.0132,4
11,20,7.0058,7
11,20,11.3165,3
14,0,5.2683,1
3,1,11.1258,3
11,20,0.6466,1
11,20,10.3978,3
16,0,14.3254,5
2,0,0.5782,2
16,0,1.0008,5
18,7,10.7537,3
16,0,11.3876,6
3,1,6.4663,7
9,3,14.1048,7
13,16,3.2617,5
18,7,2.8207,5
2,0,10.8997,7
100,0,0.1751,2
18,7,3.4002,5
11,20,2.1336,4
2,0,8.7031,5
11,20,4.1421,6
11,20,0.0613,4
2,0,0.2309,5
11,20,10.4745,1
16,0,5.7661,5
9,3,0.9417,6
9,3,11.9164,5
17,3,5.2164,5
2,0,13.3421,5
17,3,8.1455,5
14,0,11.6329,3
2,0,12.3319,6
11,20,0.6075,1
16,0,10.3358,3
16,0,8.8356,6
3,1,11.6506,6
9,3,3.433,6
9,3,6.6652,7
16,0,12.7177,6
16,0,6.0012,7
11,20,13.6577,3
2,0,3.0424,3
69,2,2.9029,5
2,0,6.9109,3
3,1,9.4313,4
2,0,9.9446,3
2,0,4.569,3
2,0,3.1981,2
17,3,8.3663,6
11,20,7.1344,7
11,20,6.3517,3
2,0,2.8817,2
13,16,7.4425,5
3,1,1.8462,2
16,0,7.6061,5
3,1,14.0643,6
16,0,8.143,3
2,0,9.8147,5
16,0,8.9123,2
3,1,11.9269,6
16,0,14.9339,5
11,20,8.2776,7
3,1,13.0087,5
16,0,9.6168,6
2,0,13.1006,3
14,0,13.7419,1
91,3,7.791,4
2,0,2.3006,4
11,20,13.3861,1
16,0,12.0636,5
2,0,10.9618,3
3,1,6.3244,7
16,0,4.8985,5
16,0,5.5486,5
2,0,12.8642,4
3,1,7.9736,6
11,20,8.3862,5
2,0,8.1038,5
35,1,14.0633,2
11,20,4.4314,4
11,20,1.1382,1
16,0,14.2309,6
2,0,14.0729,6
18,7,0.3073,4
16,0,12.3497,5
16,0,7.136,3
16,0,7.765,5
2,0,5.6457,3
3,1,5.6778,5
11,20,14.3704,5
2,0,4.8744,3
9,3,14.7627,3
21,0,11.0692,3
9,3,12.0533,6
11,20,14.6841,4
2,0,12.7192,5
3,1,6.4856,4
9,3,7.6844,4
2,0,4.1451,2
14,0,4.4204,2
2,0,2.8764,1
11,20,8.1258,5
16,0,6.8929,5
2,0,3.257,4
14,0,6.2298,3
16,0,3.6207,5
11,20,10.0549,4
16,0,0.1145,6
9,3,5.7154,7
2,0,3.7246,3
2,0,10.6853,6
16,0,9.1976,7
2,0,0.7205,1
9,3,13.7412,7
17,3,11.5335,6
17,3,1.5117,5
18,7,9.5232,5
14,0,3.9917,1
18,7,11.2846,3
14,0,6.83,3
14,0,6.7612,2
9,3,7.3332,6
2,0,3.2545,2
9,3,8.0588,7
16,0,6.1371,6
2,0,0.5256,2
2,0,10.95,4
17,3,14.8073,6
13,16,6.7726,4
9,3,9.1843,5
13,16,2.0829,6
16,0,5.0266,7
9,3,14.8153,6
2,0,8.447,5
9,3,4.1877,7
17,3,0.8865,5
14,0,4.7135,3
14,0,4.9037,2
16,0,5.6309,7
14,0,13.0832,1
16,0,10.3377,7
13,16,7.1297,3
3,1,8.2491,5
2,0,12.3759,5
11,20,12.6094,3
14,0,10.2416,2
11,20,12.8553,4
20,40,12.7154,3
21,0,2.8101,3
18,7,5.8057,3
11,20,12.534,2
18,7,5.7392,5
20,40,13.1802,3
14,0,8.4411,3
14,0,4.0823,3
17,3,1.9568,6
18,7,6.4255,3
21,0,2.5286,3
3,1,13.0178,4
16,0,8.9934,6
18,7,6.1213,3
24,10,11.4219,1
3,1,13.6492,6
21,0,13.1495,2
3,1,3.7272,7
17,3,12.1272,5
2,0,8.0836,5
16,0,14.4426,1
17,3,3.537,5
18,7,11.1036,5
21,0,7.1102,5
14,0,7.9656,3
11,20,1.734,5
3,1,2.3844,4
35,1,4.6544,2
17,3,5.7279,5
2,0,9.4645,6
18,7,0.6567,3
11,20,2.1733,6
11,20,5.1972,5
16,0,3.3751,1
9,3,8.1632,6
18,7,3.5095,3
13,16,14.0177,2
21,0,3.2499,3
13,16,11.5465,3
3,1,7.585,7
9,3,3.7273,7
16,0,10.4498,2
21,0,12.1979,5
16,0,9.3056,1
13,16,9.1049,4
9,3,10.4628,6
20,40,2.8815,5
2,0,4.8936,5
11,20,7.0394,7
22,0,11.8937,5
11,20,10.5769,3
16,0,4.7794,1
21,0,3.5989,3
21,0,11.0856,3
19,3,13.774,5
11,20,5.0807,6
22,0,11.5078,3
16,0,12.7529,1
16,0,12.7178,2
21,0,1.1601,3
2,0,6.9056,3
16,0,8.2031,1
20,40,2.8565,3
2,0,12.5424,4
22,0,9.3999,3
3,1,5.1211,7
21,0,6.0754,3
21,0,12.1571,5
13,16,6.6233,6
16,0,3.0887,6
21,0,3.0727,5
13,16,7.9199,4
