"participant_id","musical_exp","v1","rating"
20,0,11.4472,5
20,0,9.2498,5
24,0,10.2171,3
12,6,13.4613,1
20,0,14.4696,5
12,6,3.4333,2
12,6,0.829,2
20,0,2.8046,5
19,1,5.1659,7
13,0,9.1436,5
13,0,14.914,7
13,0,12.1319,6
13,0,6.0691,5
20,0,1.473,5
13,0,10.111,3
13,0,6.417,6
13,0,13.319,3
12,6,0.0147,5
12,6,13.4156,2
13,0,0.6947,2
13,0,2.8228,1
12,6,3.0465,2
12,6,8.0366,2
12,6,11.6829,1
17,0,10.3279,3
12,6,7.1981,1
17,0,6.8654,2
12,6,12.6988,5
13,0,10.4533,7
20,0,10.5498,6
20,0,7.9075,6
20,0,10.1579,5
19,1,4.9735,7
13,0,12.4168,6
20,0,9.8055,5
12,6,8.9021,2
20,0,13.5142,5
13,0,5.8986,3
19,1,5.6514,4
13,0,12.789,5
13,0,0.2673,1
17,0,5.5285,1
12,6,13.1288,1
13,0,11.8893,5
13,0,1.6123,3
13,0,14.7568,5
12,6,13.491,1
12,6,10.044,2
13,0,13.7569,6
13,0,12.608,4
20,0,2.0319,5
20,0,7.3332,6
20,0,11.4768,6
13,0,13.0107,7
13,0,8.4479,3
12,6,5.764,1
12,6,1.0854,2
13,0,0.894,2
13,0,7.7557,5
12,6,0.2206,5
13,0,13.6355,3
13,0,11.2065,5
12,6,10.0009,2
13,0,1.5079,2
13,0,14.148,6
13,0,10.0901,4
12,6,10.1286,3
13,0,13.774,4
12,6,7.9243,5
12,6,6.9281,3
20,0,8.6383,5
13,0,1.4563,3
13,0,14.0225,7
12,6,14.565,1
27,2,13.8898,3
20,0,5.2683,6
12,6,2.0254,3
12,6,4.1667,3
19,1,13.4176,5
13,0,6.2785,2
20,0,13.8563,3
12,6,9.1149,2
19,1,13.5529,5
12,6,2.5099,2
12,6,8.4323,2
20,0,11.5823,6
12,6,5.3922,3
17,0,0.029,6
15,1,7.9769,3
13,0,9.4281,5
19,1,1.175,5
12,6,0.6992,2
13,0,14.6037,7
20,0,14.4646,3
8,5,0.6918,1
12,6,12.3012,1
20,0,8.5036,3
19,1,12.3269,4
20,0,7.2516,6
13,0,8.24,3
20,0,7.9171,3
13,0,6.4298,6
13,0,10.2176,3
13,0,3.0857,3
20,0,10.276,3
13,0,13.5672,6
20,0,14.0055,3
12,6,5.1476,2
13,0,13.7419,6
13,0,13.1436,6
20,0,6.8609,7
12,6,3.4018,5
19,1,3.623,5
24,0,8.7387,6
20,0,9.6472,7
19,1,13.1816,7
8,5,3.1436,3
20,0,4.8985,7
24,0,4.6293,3
25,2,1.3401,2
25,2,11.3641,3
8,5,8.2058,1
8,5,11.9512,1
21,0,13.617,5
23,2,8.1038,1
25,2,14.3809,3
23,2,6.9422,1
24,0,12.4998,7
17,0,9.1418,2
15,1,5.1691,2
13,0,10.8365,5
8,5,4.7544,1
17,0,11.4358,5
15,1,10.0516,2
15,1,2.2226,2
15,1,8.8008,2
15,1,14.7329,5
8,5,14.5342,2
19,1,6.1498,6
19,1,6.2082,7
15,1,9.0706,1
15,1,10.6068,2
38,0,5.7617,1
23,2,11.2286,1
12,6,5.8939,5
23,2,12.1181,1
25,2,9.4085,3
8,5,14.9321,1
12,6,5.8692,5
8,5,9.8956,1
24,0,7.6835,6
24,0,11.9447,3
23,2,2.6856,1
19,1,8.7985,7
12,6,1.7324,3
19,1,9.6896,4
19,1,3.1025,6
25,2,12.5018,3
24,0,7.3743,4
8,5,3.0401,2
25,2,11.9584,3
8,5,4.9645,3
25,2,3.611,3
25,2,7.5847,5
24,0,0.9417,4
24,0,2.8792,2
17,0,13.8982,1
19,1,10.4967,4
15,1,10.0242,1
21,0,3.7553,4
13,0,14.4903,6
20,0,10.9945,1
24,0,4.4714,2
20,0,0.7217,1
24,0,3.5502,4
15,1,12.9893,1
15,1,10.0112,5
17,0,5.2408,2
24,0,0.8961,1
8,5,0.0697,5
24,0,2.4952,6
15,1,12.9714,2
15,1,1.2492,2
87,10,10.6756,5
8,5,8.2487,3
20,0,0.4492,7
17,0,13.3422,3
12,6,8.9068,3
13,0,2.2898,2
17,0,3.9957,1
12,6,3.3344,2
20,0,8.3149,3
19,1,8.1114,7
8,5,1.3625,3
20,0,6.9602,3
20,0,9.3802,3
17,0,9.9814,2
12,6,7.3849,3
19,1,3.0085,3
8,5,12.6985,1
8,5,12.7389,1
13,0,3.1005,2
20,0,8.1403,3
13,0,8.647,1
8,5,4.9442,3
19,1,0.2846,4
19,1,10.1354,6
19,1,10.6466,4
13,0,7.4224,5
12,6,10.6957,3
24,0,9.8966,4
12,6,12.308,2
20,0,13.7809,2
12,6,9.3221,2
24,0,12.0922,3
15,1,2.6865,2
19,1,3.2354,7
15,1,8.3603,2
24,0,11.2527,4
19,1,9.5908,5
20,0,4.441,2
24,0,3.2102,2
15,1,11.2397,5
24,0,14.0401,7
15,1,0.1434,2
15,1,13.9194,2
25,2,6.3407,2
32,2,0.4849,4
8,5,2.8708,3
20,0,5.0436,7
