"participant_id","musical_exp","v1","synth","rating"
10,0,4.3302,"harmonic",2
11,10,7.0707,"flute",7
9,6,9.9478,"harmonic",3
15,3,11.6914,"harmonic",6
15,3,5.3836,"harmonic",5
15,3,0.3629,"harmonic",2
12,15,10.8509,"harmonic",2
15,3,11.2702,"flute",3
7,0,3.9956,"harmonic",7
8,25,11.9433,"harmonic",6
8,25,11.4626,"harmonic",1
13,3,13.2902,"harmonic",1
7,0,13.3393,"harmonic",5
9,6,8.906,"harmonic",3
26,0,1.8853,"harmonic",3
13,3,7.3407,"harmonic",4
12,15,4.6084,"harmonic",3
11,10,2.5273,"harmonic",2
15,3,8.6864,"harmonic",5
8,25,3.5284,"harmonic",6
10,0,2.8968,"harmonic",3
12,15,11.0064,"harmonic",3
11,10,3.0727,"harmonic",5
7,0,6.3396,"harmonic",3
26,0,1.5115,"flute",5
35,2,10.3655,"flute",5
11,10,14.4304,"harmonic",1
9,6,6.25,"harmonic",3
11,10,10.6124,"harmonic",2
10,0,2.0901,"harmonic",3
13,3,2.2328,"harmonic",3
11,10,13.261,"harmonic",1
11,10,4.5417,"harmonic",2
9,6,1.061,"flute",2
11,10,1.3445,"harmonic",3
9,6,14.2607,"harmonic",1
11,10,10.8854,"harmonic",1
23,0,9.6713,"harmonic",3
15,3,3.3512,"harmonic",1
15,3,1.2661,"harmonic",1
72,8,14.148,"flute",5
9,6,10.3136,"harmonic",3
9,6,5.0173,"harmonic",4
30,0,10.0242,"harmonic",3
8,25,5.2325,"harmonic",5
10,0,9.2924,"harmonic",2
11,10,6.9281,"harmonic",5
9,6,6.041,"harmonic",2
9,6,1.5146,"harmonic",2
10,0,10.5642,"harmonic",3
12,15,5.3056,"flute",5
8,25,0.1641,"flute",6
8,25,7.6553,"harmonic",1
28,2,7.0095,"harmonic",3
28,2,7.9319,"flute",5
12,15,5.6876,"harmonic",1
13,3,12.2211,"harmonic",2
11,10,11.4692,"harmonic",2
13,3,3.0841,"harmonic",2
15,3,14.8887,"harmonic",6
7,0,0.0768,"harmonic",7
13,3,14.9711,"harmonic",2
10,0,13.0581,"harmonic",1
7,0,4.2179,"harmonic",7
12,15,6.409,"harmonic",3
9,6,14.7655,"harmonic",1
30,0,1.0431,"harmonic",2
7,0,7.2427,"harmonic",4
11,10,1.5443,"flute",4
12,15,3.1414,"harmonic",6
13,3,6.6304,"flute",5
28,2,12.4998,"harmonic",2
15,3,11.7808,"harmonic",5
9,6,8.957,"harmonic",2
9,6,2.1841,"harmonic",2
7,0,1.7621,"flute",3
8,25,8.764,"harmonic",5
12,15,4.3411,"harmonic",4
11,10,1.918,"harmonic",3
15,3,4.5223,"harmonic",2
9,6,10.0059,"harmonic",2
15,3,0.0613,"harmonic",1
75,0,7.8484,"flute",3
13,3,3.1096,"flute",4
23,0,10.2641,"flute",7
11,10,3.0186,"harmonic",4
11,10,5.4203,"harmonic",2
9,6,12.5018,"harmonic",2
8,25,4.275,"harmonic",2
13,3,11.2433,"harmonic",2
12,15,2.8565,"harmonic",4
13,3,4.3891,"harmonic",5
9,6,14.958,"harmonic",1
8,25,13.891,"harmonic",1
13,3,3.6571,"flute",3
10,0,5.6214,"harmonic",2
12,15,11.307,"harmonic",2
8,25,6.0196,"flute",6
7,0,4.7525,"harmonic",6
13,3,12.5602,"harmonic",2
28,2,9.0148,"flute",5
13,3,5.5181,"harmonic",3
9,6,11.3684,"harmonic",1
12,15,1.1965,"harmonic",2
9,6,12.1571,"harmonic",4
13,3,7.765,"harmonic",3
8,25,7.2563,"flute",7
7,0,12.8143,"harmonic",5
16,1,9.5927,"flute",6
10,0,2.4504,"harmonic",1
10,0,8.9688,"harmonic",3
13,3,2.6654,"harmonic",3
16,1,9.6669,"harmonic",4
11,10,3.8706,"harmonic",5
9,6,13.6887,"flute",4
8,25,1.9597,"harmonic",3
15,3,11.7455,"flute",2
13,3,10.4498,"harmonic",2
8,25,5.8626,"harmonic",1
11,10,5.0105,"harmonic",3
15,3,2.5521,"harmonic",3
11,10,9.0536,"harmonic",4
13,3,6.1649,"harmonic",3
10,0,14.2055,"harmonic",4
15,3,6.5949,"harmonic",5
7,0,9.5905,"flute",5
13,3,11.8893,"flute",5
15,3,1.8505,"harmonic",3
12,15,0.657,"harmonic",2
109,3,10.95,"harmonic",5
15,3,1.6463,"harmonic",3
12,15,7.399,"harmonic",2
15,3,5.8905,"harmonic",7
10,0,11.0706,"harmonic",1
8,25,9.6777,"flute",5
9,6,12.6142,"harmonic",1
15,3,1.5167,"flute",1
8,25,8.0421,"harmonic",5
23,0,6.5949,"flute",2
11,10,2.4943,"harmonic",2
19,1,8.9939,"flute",7
10,0,4.8372,"harmonic",4
12,15,2.8698,"harmonic",2
8,25,12.1893,"harmonic",3
12,15,4.5734,"harmonic",2
13,3,11.2397,"harmonic",1
9,6,9.3214,"harmonic",1
9,6,2.2063,"harmonic",2
