"participant_id","musical_exp","v1","synth","rating"
15,4,8.3199,"harmonic",4
12,0,0.5252,"harmonic",2
24,13,1.7109,"harmonic",1
13,10,4.1667,"harmonic",5
2,0,3.994,"harmonic",3
15,4,11.2472,"harmonic",3
24,13,8.2701,"harmonic",3
20,0,9.4208,"guitar",6
24,13,9.676,"harmonic",2
25,1,3.1152,"harmonic",7
15,4,0.4466,"harmonic",4
26,0,13.4797,"harmonic",1
14,12,8.8039,"guitar",6
1,1,3.3301,"harmonic",4
8,15,0.6437,"harmonic",3
1,1,9.2329,"harmonic",6
2,0,10.208,"harmonic",3
131,6,6.9766,"guitar",6
24,13,11.5675,"harmonic",1
13,10,12.534,"harmonic",7
2,0,5.6957,"harmonic",4
2,0,14.3203,"guitar",7
50,8,9.6144,"harmonic",5
16,2,11.5916,"harmonic",3
18,7,7.3345,"harmonic",4
8,15,13.5672,"harmonic",2
13,10,14.4646,"harmonic",5
13,10,5.0137,"harmonic",3
13,10,10.5628,"harmonic",6
16,2,7.5839,"harmonic",2
24,13,5.6837,"harmonic",2
16,2,9.347,"harmonic",6
15,4,5.1659,"harmonic",5
16,2,0.147,"harmonic",3
2,0,10.128,"guitar",7
24,13,2.3006,"harmonic",3
1,1,1.7396,"harmonic",7
15,4,3.216,"harmonic",6
14,12,2.237,"guitar",6
8,15,2.3397,"harmonic",5
36,40,2.5184,"harmonic",3
18,7,6.8135,"harmonic",5
16,2,0.8942,"harmonic",1
18,7,7.4666,"harmonic",3
15,4,10.7501,"harmonic",3
18,7,1.8195,"harmonic",3
1,1,5.4384,"harmonic",5
16,2,3.3146,"harmonic",2
18,7,10.1912,"harmonic",2
18,7,6.9293,"harmonic",6
2,0,9.1234,"harmonic",3
8,15,10.0719,"harmonic",6
82,1,9.3901,"harmonic",1
24,13,1.7814,"harmonic",2
13,10,8.3732,"harmonic",4
2,0,9.4085,"harmonic",5
8,15,2.0966,"harmonic",4
13,10,8.1405,"harmonic",3
2,0,14.1893,"harmonic",1
1,1,13.1761,"harmonic",2
15,4,7.5251,"harmonic",5
16,2,0.1479,"harmonic",3
18,7,10.4319,"harmonic",2
1,1,0.8846,"harmonic",7
15,4,0.5259,"guitar",3
12,0,2.6166,"harmonic",2
15,4,2.3186,"harmonic",4
24,13,10.443,"harmonic",1
36,40,10.2527,"harmonic",2
16,2,11.4559,"guitar",6
1,1,4.3245,"harmonic",4
13,10,12.9399,"guitar",4
12,0,6.5333,"harmonic",3
26,0,4.3495,"harmonic",3
182,4,1.9103,"guitar",6
8,15,12.831,"harmonic",3
8,15,9.9147,"harmonic",4
2,0,3.8684,"harmonic",1
24,13,8.9584,"harmonic",2
24,13,6.1732,"harmonic",3
13,10,9.1592,"harmonic",5
26,0,4.4145,"harmonic",3
12,0,10.4564,"harmonic",3
36,40,6.8685,"guitar",5
8,15,14.5446,"harmonic",2
15,4,11.9625,"harmonic",6
8,15,9.5785,"harmonic",3
8,15,9.8347,"harmonic",3
16,2,8.5588,"harmonic",3
15,4,14.1732,"harmonic",6
18,7,4.6486,"harmonic",4
13,10,7.6264,"harmonic",5
16,2,4.4372,"harmonic",2
12,0,14.3106,"harmonic",4
13,10,4.755,"harmonic",4
8,15,13.0075,"harmonic",2
16,2,7.7455,"harmonic",5
24,13,11.7988,"harmonic",2
12,0,1.7363,"harmonic",3
25,1,2.5868,"harmonic",7
26,0,11.5074,"harmonic",2
89,0,2.4426,"guitar",5
24,13,12.4051,"harmonic",2
13,10,2.1269,"harmonic",4
8,15,0.8237,"guitar",3
18,7,2.073,"harmonic",3
18,7,2.1325,"harmonic",2
1,1,11.2097,"guitar",4
15,4,0.0977,"harmonic",5
16,2,6.3959,"harmonic",2
15,4,13.6075,"harmonic",5
8,15,11.2065,"harmonic",2
1,1,0.395,"harmonic",7
46,0,1.1904,"harmonic",6
1,1,0.7109,"guitar",4
2,0,3.8309,"harmonic",2
