"participant_id","musical_exp","v1","synth","rating"
6,0,12.3752,"harmonic",7
7,2,13.5715,"harmonic",6
14,0,5.2941,"harmonic",5
12,0,6.5448,"harmonic",3
4,6,5.398,"harmonic",7
14,0,10.1074,"harmonic",3
3,2,3.2545,"harmonic",3
3,2,5.3312,"piano",6
3,2,7.4373,"harmonic",5
7,2,1.7257,"harmonic",3
6,0,5.4446,"harmonic",5
7,2,1.892,"piano",7
12,0,2.1733,"harmonic",3
6,0,14.6511,"harmonic",6
12,0,5.9236,"harmonic",3
3,2,10.9678,"harmonic",4
6,0,11.856,"harmonic",6
7,2,9.7363,"harmonic",7
3,2,0.9371,"harmonic",2
12,0,13.8209,"harmonic",5
7,2,13.389,"harmonic",2
2,4,8.2269,"harmonic",4
15,20,8.096,"piano",7
12,0,12.4029,"harmonic",3
7,2,1.4903,"harmonic",7
3,2,11.0736,"harmonic",5
12,0,10.3174,"harmonic",3
6,0,6.8139,"harmonic",5
15,20,8.6585,"harmonic",5
6,0,10.3245,"harmonic",5
12,0,1.9755,"harmonic",2
7,2,2.952,"harmonic",6
12,0,12.3344,"harmonic",3
12,0,5.2677,"harmonic",6
4,6,4.7705,"harmonic",3
4,6,13.1516,"harmonic",4
3,2,2.3981,"harmonic",3
4,6,3.5019,"harmonic",6
6,0,5.8974,"harmonic",2
6,0,4.6862,"harmonic",2
2,4,4.8372,"harmonic",4
14,0,14.4426,"harmonic",5
7,2,9.8938,"harmonic",7
3,2,8.3779,"harmonic",5
3,2,4.4034,"harmonic",3
7,2,8.8111,"harmonic",2
3,2,4.755,"harmonic",3
15,20,11.5546,"harmonic",4
6,0,6.1273,"harmonic",3
12,0,14.319,"harmonic",3
6,0,2.1348,"harmonic",2
12,0,1.2053,"harmonic",2
14,0,0.9214,"harmonic",1
12,0,10.5362,"harmonic",5
6,0,14.4191,"harmonic",5
15,20,14.9939,"harmonic",6
14,0,10.7354,"harmonic",6
3,2,11.5131,"harmonic",5
6,0,7.4582,"harmonic",3
7,2,7.3488,"harmonic",7
14,0,5.0274,"harmonic",3
14,0,9.0336,"harmonic",3
7,2,6.726,"harmonic",7
4,6,7.3429,"harmonic",6
4,6,7.4171,"harmonic",6
15,20,0.7205,"harmonic",1
3,2,7.8352,"harmonic",5
4,6,7.7277,"harmonic",5
15,20,0.1275,"harmonic",5
6,0,6.408,"harmonic",2
15,20,2.4504,"harmonic",4
6,0,8.2135,"harmonic",2
14,0,3.0315,"harmonic",2
15,20,5.6375,"harmonic",2
14,0,13.0031,"harmonic",3
2,4,7.245,"harmonic",4
7,2,3.4421,"harmonic",7
3,2,12.0912,"harmonic",5
7,2,13.4202,"harmonic",6
7,2,12.8928,"harmonic",5
12,0,5.9017,"harmonic",5
12,0,14.3373,"harmonic",5
4,6,11.6914,"harmonic",7
6,0,3.5898,"harmonic",5
12,0,0.8917,"harmonic",2
6,0,11.0241,"harmonic",3
15,20,7.3632,"piano",4
4,6,1.8505,"harmonic",6
2,4,9.3307,"harmonic",4
15,20,9.9281,"piano",6
14,0,6.2308,"harmonic",5
6,0,12.534,"piano",6
2,4,6.4067,"harmonic",2
12,0,11.334,"harmonic",3
2,4,13.256,"harmonic",2
12,0,9.8311,"harmonic",3
14,0,9.9086,"harmonic",5
7,2,9.1953,"harmonic",6
7,2,8.5932,"harmonic",3
14,0,4.2316,"harmonic",2
3,2,9.543,"harmonic",3
15,20,7.2442,"harmonic",4
12,0,2.7337,"harmonic",3
14,0,11.9127,"harmonic",5
14,0,7.2075,"harmonic",5
6,0,0.8378,"harmonic",3
