"participant_id","musical_exp","chord_spec","group","timbre","intervals","rating"
7,0,"{""f0"":60,""group"":""least_sensitive"",""synth"":""harmonic"",""rolloff"":null,""intervals"":[1,1],""shepardize"":false,""custom_timbre"":""[0.559016994374947,0.559016994374947,0,0.559016994374947,0.559016994374947]"",""parametrization"":""cumulative"",""time_to_wait_in_sec"":1.4}","least_sensitive","without_3rd","[1,1]",3
3,20,"{""f0"":60,""group"":""most_sensitive"",""synth"":""harmonic"",""rolloff"":null,""intervals"":[1,8],""shepardize"":false,""custom_timbre"":""[0.559016994374947,0.559016994374947,0,0.559016994374947,0.559016994374947]"",""parametrization"":""cumulative"",""time_to_wait_in_sec"":1.4}","most_sensitive","without_3rd","[1,8]",4
7,0,"{""f0"":60,""group"":""least_sensitive"",""synth"":""harmonic"",""rolloff"":null,""intervals"":[2,7],""shepardize"":false,""custom_timbre"":""[0.559016994374947,0.559016994374947,0,0.559016994374947,0.559016994374947]"",""parametrization"":""cumulative"",""time_to_wait_in_sec"":1.4}","least_sensitive","without_3rd","[2,7]",3
1,1,"{""f0"":60,""group"":""least_sensitive"",""synth"":""harmonic"",""rolloff"":null,""intervals"":[5,5],""shepardize"":false,""custom_timbre"":""[0.5,0.5,0.5,0.5,0.5]"",""parametrization"":""cumulative"",""time_to_wait_in_sec"":1.4}","least_sensitive","with_3rd","[5,5]",6
14,0,"{""f0"":60,""group"":""least_sensitive"",""synth"":""harmonic"",""rolloff"":null,""intervals"":[2,7],""shepardize"":false,""custom_timbre"":""[0.559016994374947,0.559016994374947,0,0.559016994374947,0.559016994374947]"",""parametrization"":""cumulative"",""time_to_wait_in_sec"":1.4}","least_sensitive","without_3rd","[2,7]",5
8,0,"{""f0"":60,""group"":""least_sensitive"",""synth"":""harmonic"",""rolloff"":null,""intervals"":[4,7],""shepardize"":false,""custom_timbre"":""[0.559016994374947,0.559016994374947,0,0.559016994374947,0.559016994374947]"",""parametrization"":""cumulative"",""time_to_wait_in_sec"":1.4}","least_sensitive","without_3rd","[4,7]",6
4,5,"{""f0"":60,""group"":""most_sensitive"",""synth"":""harmonic"",""rolloff"":null,""intervals"":[3,6],""shepardize"":false,""custom_timbre"":""[0.559016994374947,0.559016994374947,0,0.559016994374947,0.559016994374947]"",""parametrization"":""cumulative"",""time_to_wait_in_sec"":1.4}","most_sensitive","without_3rd","[3,6]",7
4,5,"{""f0"":60,""group"":""most_sensitive"",""synth"":""harmonic"",""rolloff"":null,""intervals"":[1,7],""shepardize"":false,""custom_timbre"":""[0.559016994374947,0.559016994374947,0,0.559016994374947,0.559016994374947]"",""parametrization"":""cumulative"",""time_to_wait_in_sec"":1.4}","most_sensitive","without_3rd","[1,7]",6
8,0,"{""f0"":60,""group"":""least_sensitive"",""synth"":""harmonic"",""rolloff"":null,""intervals"":[3,2],""shepardize"":false,""custom_timbre"":""[0.559016994374947,0.559016994374947,0,0.559016994374947,0.559016994374947]"",""parametrization"":""cumulative"",""time_to_wait_in_sec"":1.4}","least_sensitive","without_3rd","[3,2]",3
11,16,"{""f0"":60,""group"":""least_sensitive"",""synth"":""harmonic"",""rolloff"":null,""intervals"":[2,2],""shepardize"":false,""custom_timbre"":""[0.559016994374947,0.559016994374947,0,0.559016994374947,0.559016994374947]"",""parametrization"":""cumulative"",""time_to_wait_in_sec"":1.4}","least_sensitive","without_3rd","[2,2]",4
