"participant_id","musical_exp","v1","rating"
5,2,3.70640143912751,4
1,0,3.8044234046014,2
10,5,3.73487970835995,6
1,0,4.10764261751901,3
2,0,3.97823425973766,4
2,0,3.65103825493716,1
5,2,3.96992719927803,7
2,0,4.0742557118414,4
16,3,3.89630614428315,5
2,0,3.93332917368971,4
2,0,4.07140977142844,6
1,0,3.94096258583013,3
1,0,4.01832556838635,4
13,0,4.0813673179131,5
10,5,3.94816582670901,6
13,0,3.83352495378349,1
13,0,3.73604926115368,3
2,0,3.8601850687759,2
1,0,3.88019727214705,3
2,0,3.69569792887196,2
10,5,3.66652385888156,5
13,0,4.14048518121708,6
13,0,3.98446784887929,5
16,3,3.86739798109047,7
25,4,3.68937787481118,6
5,2,3.85998717728071,6
5,2,3.93842557407916,7
11,20,4.11751750877593,4
5,2,4.00995956661645,7
16,3,3.85607330766506,2
16,3,3.8559666555142,5
2,0,3.76629177595023,4
2,0,3.93329122939613,3
10,5,3.7576992371818,3
13,0,3.79246666338295,3
10,5,3.65037660554517,5
32,0,3.76685046670027,3
16,3,3.86481220389251,4
5,2,3.69475028486922,4
1,0,3.94826954135206,5
2,0,3.72480953482445,5
16,3,3.68849805961363,3
1,0,3.85788249082398,4
2,0,4.09437841663603,5
2,0,4.01994166253135,2
10,5,4.01005928728264,5
10,5,3.90294986506924,3
1,0,3.67846014220268,3
5,2,4.14626125837676,7
20,0,3.91051085966174,5
18,0,3.72778902968857,5
10,5,3.97366645208094,2
5,2,4.04692360209301,6
13,0,4.02403337249998,6
1,0,3.99780640772078,5
2,0,3.83861244013533,3
1,0,3.88918858321849,4
38,15,4.0317198893521,6
2,0,3.92756868116558,4
13,0,3.91288580265828,3
10,5,3.65092855840921,6
1,0,3.77052734557074,4
13,0,3.95170036887284,3
11,20,4.12654359822627,3
32,0,4.11765964012593,6
2,0,3.90912820140366,4
16,3,3.90600340613164,5
13,0,3.95249988997821,5
11,20,3.91474087371025,7
11,20,3.96780784938019,5
32,0,3.67963946794625,3
1,0,3.89121050455142,3
2,0,3.93609152545687,4
13,0,3.75224306583405,6
10,5,3.69953532468062,3
10,5,3.73549381315242,5
20,0,3.85182465959806,6
27,0,3.80708413242828,6
13,0,3.82245846870355,6
1,0,4.08613782292232,3
10,5,4.07638168507256,5
13,0,3.81358795505948,3
1,0,3.85470561401453,4
13,0,3.89580836691894,5
2,0,3.73120156941004,2
5,2,3.94580830864143,7
10,5,4.02558960658498,3
13,0,3.72528036728036,5
1,0,3.87995063301641,4
2,0,3.94071266169194,4
10,5,4.10902353595011,4
18,0,4.07721309908666,7
13,0,3.8237218988128,5
13,0,3.88030833981466,3
1,0,3.97834281714167,5
13,0,3.94099415265955,3
10,5,3.88837456176989,7
2,0,3.70340272071771,2
1,0,3.73340864011552,4
10,5,3.66492556079756,6
10,5,3.6746691548964,3
13,0,4.01305524490308,6
5,2,3.95467529792804,6
13,0,3.78701699255034,5
2,0,3.9414615861373,5
10,5,3.89914465029724,2
5,2,4.03875220727641,7
5,2,3.84339154392947,7
13,0,3.76905178904999,3
5,2,3.83517853296362,7
5,2,4.10107261394151,4
10,5,4.07997133219615,4
2,0,3.78421981676947,7
13,0,3.84310525502078,5
2,0,4.09007271912415,7
27,0,3.78043654558714,5
18,0,3.73636907092296,6
5,2,3.83070202751551,7
18,0,3.8047627421096,4
10,5,3.77724835518748,6
2,0,4.09830964831635,2
1,0,3.68781552333385,4
10,5,3.92867973467801,5
1,0,3.96617415079381,5
16,3,3.87974790888838,3
16,3,3.99366134484299,4
13,0,3.96071669398807,5
13,0,4.04335012796801,3
5,2,3.67430528227705,6
11,20,4.12610465961043,7
5,2,3.65956908811349,4
13,0,4.11009111194871,1
13,0,4.13060780623928,5
5,2,3.83970660655759,4
13,0,3.67515451132786,2
5,2,3.9717892406974,7
13,0,4.0985820021946,3
1,0,4.05759244922083,3
20,0,3.76924556631129,6
2,0,4.03119035284035,2
10,5,3.73932282612659,6
2,0,3.79674110442866,4
11,20,4.12557089314796,6
10,5,4.10284700277261,3
1,0,4.06493888047989,3
10,5,3.77883334013168,3
13,0,3.87217936185189,3
11,20,3.70982756253798,5
13,0,3.81719899571035,3
1,0,3.71537857197691,3
13,0,4.07049921036232,5
10,5,4.09562054856215,3
10,5,4.00465453320649,6
27,0,4.01445279070176,5
11,20,3.97730917539448,6
1,0,3.91719903596677,3
1,0,3.66059132697992,4
1,0,3.70323855869938,3
2,0,3.74282864199486,3
11,20,3.90811262230855,6
13,0,3.76481227434706,3
11,20,3.65454635894857,7
10,5,3.75283156810328,3
5,2,3.90725110934582,4
13,0,3.79026735106017,5
11,20,3.84488648697734,6
2,0,4.02877606321126,3
10,5,3.79552833815105,3
1,0,3.8187491775956,5
1,0,4.08591064284556,5
13,0,3.87288400691468,6
10,5,4.03236311334185,3
5,2,4.08436831061263,4
2,0,3.94065725242253,2
28,3,3.85072974450886,6
