interval,output,model_id,model_label,model_theory,model_colour,timbre_label
3.65,0.714744070206093,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6505005005005002,0.7148228741945187,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.651001001001001,0.714902462611432,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6515015015015013,0.7149828427211639,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.652002002002002,0.7150640218093007,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6525025025025024,0.715146007181113,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6530030030030027,0.7152288061599352,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6535035035035035,0.7153124260854953,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.654004004004004,0.7153968743121868,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6545045045045046,0.7154821582072843,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.655005005005005,0.715568285149108,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6555055055055052,0.7156552625251327,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.656006006006006,0.7157430977300397,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6565065065065063,0.715831798163711,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.657007007007007,0.7159213712291683,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6575075075075074,0.7160118243304522,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6580080080080077,0.7161031648704534,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6585085085085085,0.7161954002486727,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.659009009009009,0.7162885378589341,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6595095095095096,0.7163825850870327,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.66001001001001,0.7164775493083297,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6605105105105102,0.7165734378852898,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.661011011011011,0.7166702581649531,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6615115115115113,0.716768017476357,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.662012012012012,0.7168667231278987,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6625125125125124,0.7169663824046341,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6630130130130127,0.7170670025655326,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6635135135135135,0.717168590840657,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.664014014014014,0.7172711544282995,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6645145145145146,0.7173747004920631,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.665015015015015,0.7174792361578717,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6655155155155152,0.7175847685109469,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.666016016016016,0.717691304592715,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6665165165165163,0.7177988513976639,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.667017017017017,0.7179074158701506,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6675175175175174,0.7180170049011537,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6680180180180177,0.7181276253249762,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6685185185185185,0.7182392839159022,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.669019019019019,0.7183519873847944,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6695195195195196,0.7184657423756621,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.67002002002002,0.7185805554621681,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6705205205205202,0.7186964331440963,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.671021021021021,0.7188133818437779,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6715215215215213,0.718931407902479,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.672022022022022,0.7190505175767402,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6725225225225224,0.7191707170346898,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6730230230230227,0.719292012352313,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6735235235235235,0.71941440950969,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.674024024024024,0.7195379143872115,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6745245245245246,0.7196625327617451,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.675025025025025,0.7197882703027959,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6755255255255253,0.719915132568635,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.676026026026026,0.7200431250023982,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6765265265265263,0.7201722529281785,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.677027027027027,0.720302521547094,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6775275275275274,0.7204339359333459,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6780280280280278,0.7205665010302661,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6785285285285285,0.7207002216463484,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.679029029029029,0.7208351024512879,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6795295295295296,0.7209711479720134,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.68003003003003,0.7211083625887134,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6805305305305303,0.7212467505308822,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.681031031031031,0.7213863158733643,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6815315315315313,0.7215270625324093,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.682032032032032,0.721668994261749,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6825325325325324,0.7218121146486915,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6830330330330328,0.7219564271102301,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6835335335335335,0.7221019348891907,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.684034034034034,0.7222486410504013,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6845345345345346,0.7223965484768969,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.685035035035035,0.7225456598661635,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6855355355355357,0.7226959777264226,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.686036036036036,0.7228475043729621,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6865365365365363,0.7230002419245135,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.687037037037037,0.7231541922996896,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6875375375375374,0.7233093572134742,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.688038038038038,0.7234657381737721,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
3.6885385385385385,0.7236233364780339,Milne13,Milne (2013),harmonicity,#11A3FF,3 dB roll-off
