interval,output,model_id,model_label,model_theory,model_colour,timbre_label
3.65,-1.0981641661304111,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6505005005005002,-1.0980310869341154,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.651001001001001,-1.097896750621657,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6515015015015013,-1.0977611460108407,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.652002002002002,-1.0976242618842387,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6525025025025024,-1.0974860869912237,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6530030030030027,-1.0973466100500655,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6535035035035035,-1.0972058197500836,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.654004004004004,-1.097063704753882,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6545045045045046,-1.0969202536996192,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.655005005005005,-1.0967754552033713,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6555055055055052,-1.0966292978615575,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.656006006006006,-1.0964817702534093,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6565065065065063,-1.0963328609435403,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.657007007007007,-1.0961825584845497,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6575075075075074,-1.0960308514197104,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6580080080080077,-1.0958777282857264,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6585085085085085,-1.0957231776155312,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.659009009009009,-1.0955671879412041,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6595095095095096,-1.095409747796879,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.66001001001001,-1.0952508457217895,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6605105105105102,-1.0950904702633337,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.661011011011011,-1.0949286099802191,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6615115115115113,-1.0947652534456886,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.662012012012012,-1.0946003892507652,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6625125125125124,-1.0944340060076112,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6630130130130127,-1.094266092352913,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6635135135135135,-1.0940966369513385,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.664014014014014,-1.093925628499074,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6645145145145146,-1.0937530557273838,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.665015015015015,-1.0935789074062483,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6655155155155152,-1.0934031723480666,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.666016016016016,-1.093225839411399,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6665165165165163,-1.0930468975047707,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.667017017017017,-1.092866335590524,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6675175175175174,-1.0926841426887266,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6680180180180177,-1.092500307881119,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6685185185185185,-1.0923148203151292,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.669019019019019,-1.092127669207894,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6695195195195196,-1.0919388438503714,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.67002002002002,-1.0917483336114566,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6705205205205202,-1.091556127942145,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.671021021021021,-1.091362216379742,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.6715215215215213,-1.0911665885520958,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
3.672022022022022,-1.0909692341818482,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
