interval,output,model_id,model_label,model_theory,model_colour,timbre_label
3.65,-0.08906500006324694,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6505005005005002,-0.08905686246809733,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.651001001001001,-0.0890486552771196,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6515015015015013,-0.08904037797962476,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.652002002002002,-0.08903203006573744,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6525025025025024,-0.08902361102654895,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6530030030030027,-0.08901512035427414,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6535035035035035,-0.08900655754241299,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.654004004004004,-0.08899792208591406,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6545045045045046,-0.08898921348134275,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.655005005005005,-0.08898043122705158,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6555055055055052,-0.088971574823355,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.656006006006006,-0.0889626437727077,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6565065065065063,-0.08895363757988617,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.657007007007007,-0.08894455575217185,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6575075075075074,-0.08893539779954124,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6580080080080077,-0.08892616323485548,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6585085085085085,-0.08891685157405732,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.659009009009009,-0.08890746233636579,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6595095095095096,-0.08889799504447933,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.66001001001001,-0.08888844922477958,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6605105105105102,-0.08887882440753786,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.661011011011011,-0.08886912012712601,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6615115115115113,-0.08885933592222828,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.662012012012012,-0.0888494713360585,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6625125125125124,-0.08883952591657782,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6630130130130127,-0.08882949921671542,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6635135135135135,-0.08881939079459299,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.664014014014014,-0.08880920021375152,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6645145145145146,-0.0887989270433767,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.665015015015015,-0.08878857085853492,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6655155155155152,-0.08877813124040049,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.666016016016016,-0.08876760777649437,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6665165165165163,-0.08875700006091872,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.667017017017017,-0.0887463076945963,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6675175175175174,-0.08873553028551046,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6680180180180177,-0.08872466744894492,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6685185185185185,-0.0887137188077286,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.669019019019019,-0.08870268399247803,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6695195195195196,-0.08869156264184129,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.67002002002002,-0.0886803544027447,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6705205205205202,-0.08866905893063813,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.671021021021021,-0.08865767588974122,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6715215215215213,-0.08864620495328951,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.672022022022022,-0.08863464580378169,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6725225225225224,-0.08862299813322452,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6730230230230227,-0.08861126164337978,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6735235235235235,-0.08859943604600892,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.674024024024024,-0.08858752106311626,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6745245245245246,-0.0885755164271934,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.675025025025025,-0.08856342188146044,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6755255255255253,-0.08855123718010545,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.676026026026026,-0.08853896208852362,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6765265265265263,-0.08852659638355233,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.677027027027027,-0.08851413985370635,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6775275275275274,-0.08850159229940734,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6780280280280278,-0.0884889535332137,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6785285285285285,-0.08847622338004422,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.679029029029029,-0.08846340167740194,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6795295295295296,-0.08845048827558971,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.68003003003003,-0.08843748303792609,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6805305305305303,-0.08842438584095502,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.681031031031031,-0.08841119657465007,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6815315315315313,-0.08839791514261694,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.682032032032032,-0.08838454146228716,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6825325325325324,-0.08837107546510922,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6830330330330328,-0.08835751709673338,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6835335335335335,-0.08834386631718946,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.684034034034034,-0.08833012310105945,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6845345345345346,-0.08831628743764443,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.685035035035035,-0.0883023593311222,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6855355355355357,-0.08828833880070078,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.686036036036036,-0.08827422588076267,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6865365365365363,-0.08826002062100212,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.687037037037037,-0.08824572308655473,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6875375375375374,-0.08823133335811875,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.688038038038038,-0.0882168515320678,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6885385385385385,-0.08820227772055611,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.689039039039039,-0.08818761205161252,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6895395395395396,-0.08817285466922875,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.69004004004004,-0.08815800573343509,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6905405405405407,-0.08814306542036844,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.691041041041041,-0.08812803392233018,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6915415415415413,-0.0881129114478342,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.692042042042042,-0.08809769822164397,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6925425425425424,-0.08808239448480003,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.693043043043043,-0.08806700049463723,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6935435435435435,-0.08805151652479123,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.694044044044044,-0.08803594286519162,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6945445445445446,-0.08802027982204864,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.695045045045045,-0.08800452771782523,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6955455455455457,-0.08798868689119925,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.696046046046046,-0.08797275769701329,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6965465465465464,-0.08795674050621488,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.697047047047047,-0.08794063570578405,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6975475475475474,-0.08792444369864821,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.698048048048048,-0.08790816490358899,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6985485485485485,-0.08789179975513271,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.699049049049049,-0.08787534870343275,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.6995495495495496,-0.08785881221414012,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.70005005005005,-0.08784219076825937,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.7005505505505507,-0.0878254848619972,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.701051051051051,-0.08780869500659554,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.7015515515515514,-0.08779182172815607,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.702052052052052,-0.08777486556745241,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.7025525525525524,-0.08775782707972957,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.703053053053053,-0.08774070683449538,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.7035535535535535,-0.08772350541529815,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.704054054054054,-0.08770622341949433,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.7045545545545546,-0.08768886145800603,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.705055055055055,-0.08767142015506728,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.7055555555555557,-0.0876539001479604,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.706056056056056,-0.08763630208674306,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.7065565565565564,-0.08761862663396208,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.707057057057057,-0.08760087446436367,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.7075575575575574,-0.08758304626458815,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.708058058058058,-0.08756514273285977,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.7085585585585585,-0.08754716457866629,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.709059059059059,-0.08752911252242812,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.7095595595595596,-0.08751098729516563,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.71006006006006,-0.08749278963815005,Seth93,Sethares (1993),interference,#B50000,Pure tones
3.7105605605605607,-0.08747452030255433,Seth93,Sethares (1993),interference,#B50000,Pure tones
