interval,output,model_id,model_label,model_theory,model_colour,timbre_label
8.65,-0.047622844004760564,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.6505005005005,-0.04761774769437092,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.651001001001001,-0.047612604245454625,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.651501501501501,-0.04760741325369358,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.652002002002002,-0.04760217431383226,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.652502502502504,-0.04759688701975893,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.653003003003004,-0.047591550964590626,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.653503503503504,-0.04758616574075966,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.654004004004005,-0.04758073094010219,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.654504504504505,-0.04757524615395056,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.655005005005005,-0.047569710973226945,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.655505505505506,-0.0475641249885396,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.656006006006006,-0.04755848779028176,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.656506506506506,-0.0475527989687337,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.657007007007007,-0.04754705811416505,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.657507507507509,-0.04754126481694279,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.658008008008009,-0.047535418667638316,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.65850850850851,-0.047529519257139524,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.65900900900901,-0.04752356617676414,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.65950950950951,-0.047517559018375434,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.66001001001001,-0.04751149737450058,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.66051051051051,-0.04750538083845173,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.661011011011011,-0.04749920900444896,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.661511511511511,-0.04749298146774477,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.662012012012012,-0.047486697824753274,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.662512512512514,-0.047480357673179374,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.663013013013014,-0.047473960612150416,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.663513513513514,-0.04746750624235163,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.664014014014015,-0.047460994166161743,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.664514514514515,-0.04745442398779254,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.665015015015015,-0.04744779531342821,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.665515515515516,-0.04744110775136956,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.666016016016016,-0.047434360912177356,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.666516516516516,-0.04742755440881944,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.667017017017017,-0.047420687856818765,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.667517517517519,-0.04741376087440359,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.668018018018019,-0.047406773082659434,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.66851851851852,-0.04739972410568156,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.66901901901902,-0.0473926135707304,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.66951951951952,-0.04738544110838756,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.67002002002002,-0.04737820635271337,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.67052052052052,-0.04737090894140599,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.671021021021021,-0.04736354851596045,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.671521521521521,-0.047356124721830296,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.672022022022022,-0.047348637208589214,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.672522522522524,-0.047341085630093475,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.673023023023024,-0.04733346964464567,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.673523523523524,-0.04732578891515836,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.674024024024025,-0.047318043109318135,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.674524524524525,-0.047310231899750976,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.675025025025025,-0.04730235496418644,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.675525525525526,-0.04729441198562318,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.676026026026026,-0.047286402652492864,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.676526526526526,-0.04727832665882556,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.677027027027027,-0.04727018370441367,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.677527527527529,-0.047261973494975414,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.678028028028029,-0.047253695742318046,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.67852852852853,-0.04724535016449966,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.67902902902903,-0.04723693648599064,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.67952952952953,-0.04722845443783298,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.68003003003003,-0.04721990375779996,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.68053053053053,-0.04721128419055219,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.681031031031031,-0.04720259548779345,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.681531531531531,-0.047193837408424574,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.682032032032032,-0.047185009718694236,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.682532532532534,-0.047176112192349046,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.683033033033034,-0.04716714461078042,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.683533533533534,-0.047158106763168284,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.684034034034035,-0.047148998446623944,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.684534534534535,-0.04713981946632788,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.685035035035035,-0.04713056963566617,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.685535535535536,-0.04712124877636219,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.686036036036036,-0.047111856718606564,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.686536536536536,-0.04710239330118133,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.687037037037037,-0.0470928583715828,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.687537537537539,-0.04708325178613777,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.688038038038039,-0.04707357341011851,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.68853853853854,-0.04706382311785023,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.68903903903904,-0.04705400079281699,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.68953953953954,-0.04704410632776116,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.69004004004004,-0.04703413962477818,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.69054054054054,-0.04702410059540763,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.691041041041041,-0.04701398916071725,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.691541541541541,-0.04700380525138327,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.692042042042042,-0.04699354880776457,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.692542542542544,-0.046983219779971566,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.693043043043044,-0.04697281812792905,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.693543543543544,-0.04696234382143322,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.694044044044045,-0.046951796840203265,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.694544544544545,-0.04694117717392624,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.695045045045045,-0.046930484822296246,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.695545545545546,-0.04691971979504654,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.696046046046046,-0.04690888211197673,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.696546546546546,-0.046897971802971936,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.697047047047047,-0.046886988908015924,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.697547547547549,-0.04687593347719842,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.698048048048049,-0.046864805570714735,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.69854854854855,-0.04685360525885812,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.69904904904905,-0.0468423326220081,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.69954954954955,-0.04683098775060835,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.70005005005005,-0.046819570745140746,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.70055055055055,-0.0468080817160906,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.701051051051051,-0.04679652078390604,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.701551551551551,-0.04678488807895065,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.702052052052052,-0.046773183741448524,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.702552552552554,-0.04676140792142303,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.703053053053054,-0.04674956077862944,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.703553553553554,-0.04673764248247962,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.704054054054055,-0.046725653211960747,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.704554554554555,-0.04671359315554783,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.705055055055055,-0.04670146251110948,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.705555555555556,-0.0466892614858066,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.706056056056056,-0.04667699029598649,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.706556556556556,-0.04666464916706903,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.707057057057057,-0.04665223833342817,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.707557557557559,-0.046639758038266865,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.708058058058059,-0.0466272085334869,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.70855855855856,-0.046614590079552355,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.70905905905906,-0.04660190294534877,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.70955955955956,-0.0465891474080363,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.71006006006006,-0.04657632375289844,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.71056056056056,-0.046563432273185455,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.711061061061061,-0.04655047326995396,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.711561561561561,-0.04653744705190186,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.712062062062062,-0.04652435393519903,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.712562562562564,-0.0465111942433144,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.713063063063064,-0.04649796830683961,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.713563563563564,-0.0464846764633089,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.714064064064065,-0.04647131905701669,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.714564564564565,-0.046457896438831435,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.715065065065065,-0.046444408966007635,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.715565565565566,-0.0464308570019961,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.716066066066066,-0.046417240916251226,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.716566566566566,-0.04640356108403706,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.717067067067067,-0.04638981788623323,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.717567567567569,-0.046376011709137584,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.718068068068069,-0.04636214294427073,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.71856856856857,-0.046348211988178144,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.71906906906907,-0.04633421924223363,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.71956956956957,-0.04632016511244268,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.72007007007007,-0.04630605000924575,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.72057057057057,-0.04629187434732409,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.721071071071071,-0.04627763854540449,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.721571571571571,-0.0462633430260685,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.722072072072072,-0.04624898821556147,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.722572572572574,-0.04623457454360433,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.723073073073074,-0.04622010244320796,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.723573573573574,-0.046205572350491414,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.724074074074075,-0.046190984704501635,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.724574574574575,-0.04617633994703828,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.725075075075075,-0.046161638522481285,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.725575575575576,-0.04614688087762355,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.726076076076076,-0.046132067461507206,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.726576576576576,-0.04611719872526466,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.727077077077077,-0.04610227512196606,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.727577577577579,-0.046087297106470075,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.72807807807808,-0.04607226513528182,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.72857857857858,-0.04605717966641568,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.72907907907908,-0.04604204115926511,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.72957957957958,-0.046026850074478244,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.73008008008008,-0.04601160687384058,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.73058058058058,-0.045996312020163986,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.731081081081081,-0.04598096597718329,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
8.731581581581581,-0.04596556920946042,Seth93,Sethares (1993),interference,#B50000,12 dB roll-off
