interval,output,model_id,model_label,model_theory,model_colour,timbre_label
8.65,-0.6526423031318863,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.6505005005005,-0.6525298048764743,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.651001001001001,-0.6524162473194949,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.651501501501501,-0.6523016210916108,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.652002002002002,-0.6521859167952206,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.652502502502504,-0.6520691250061759,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.653003003003004,-0.6519512362755848,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.653503503503504,-0.6518322411316462,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.654004004004005,-0.6517121300815459,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.654504504504505,-0.6515908936134079,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.655005005005005,-0.6514685221983073,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.655505505505506,-0.6513450062923242,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.656006006006006,-0.6512203363386693,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.656506506506506,-0.6510945027698456,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.657007007007007,-0.6509674960099007,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.657507507507509,-0.6508393064766833,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.658008008008009,-0.6507099245842076,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.65850850850851,-0.6505793407450431,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.65900900900901,-0.6504475453727631,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.65950950950951,-0.6503145288844595,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.66001001001001,-0.6501802817033089,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.66051051051051,-0.6500447942611803,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.661011011011011,-0.6499080570013204,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.661511511511511,-0.6497700603810731,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.662012012012012,-0.6496307948746644,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.662512512512514,-0.6494902509760401,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.663013013013014,-0.6493484192017379,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.663513513513514,-0.6492052900938411,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.664014014014015,-0.6490608542229581,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.664514514514515,-0.648915102191262,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.665015015015015,-0.648768024635578,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.665515515515516,-0.6486196122305178,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.666016016016016,-0.6484698556916565,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.666516516516516,-0.6483187457787666,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.667017017017017,-0.6481662732990766,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.667517517517519,-0.6480124291105958,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.668018018018019,-0.6478572041254552,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.66851851851852,-0.6477005893133075,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.66901901901902,-0.6475425757047523,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.66951951951952,-0.6473831543948022,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.67002002002002,-0.6472223165463871,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.67052052052052,-0.647060053393872,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.671021021021021,-0.6468963562466349,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.671521521521521,-0.6467312164926365,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.672022022022022,-0.6465646256020444,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.672522522522524,-0.6463965751308682,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.673023023023024,-0.6462270567246132,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.673523523523524,-0.6460560621219468,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.674024024024025,-0.6458835831583984,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.674524524524525,-0.6457096117700577,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.675025025025025,-0.6455341399972777,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.675525525525526,-0.6453571599883956,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.676026026026026,-0.6451786640034604,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.676526526526526,-0.6449986444179392,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.677027027027027,-0.644817093726444,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.677527527527529,-0.6446340045464377,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.678028028028029,-0.6444493696219399,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.67852852852853,-0.6442631818272118,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.67902902902903,-0.6440754341704313,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.67952952952953,-0.6438861197973452,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.68003003003003,-0.6436952319948922,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.68053053053053,-0.6435027641948075,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.681031031031031,-0.6433087099771948,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.681531531531531,-0.6431130630740549,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.682032032032032,-0.6429158173727866,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.682532532532534,-0.6427169669196409,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.683033033033034,-0.6425165059231185,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.683533533533534,-0.6423144287573361,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.684034034034035,-0.6421107299653216,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.684534534534535,-0.641905404262257,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.685035035035035,-0.6416984465386621,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.685535535535536,-0.6414898518635049,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.686036036036036,-0.6412796154872425,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.686536536536536,-0.6410677328447965,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.687037037037037,-0.6408541995584316,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.687537537537539,-0.6406390114405703,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.688038038038039,-0.6404221644965155,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.68853853853854,-0.6402036549270749,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.68903903903904,-0.6399834791310925,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.68953953953954,-0.6397616337079017,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.69004004004004,-0.6395381154596432,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.69054054054054,-0.6393129213935107,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.691041041041041,-0.6390860487238648,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.691541541541541,-0.6388574948742409,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.692042042042042,-0.6386272574792494,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.692542542542544,-0.638395334386338,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.693043043043044,-0.6381617236574644,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.693543543543544,-0.6379264235705965,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.694044044044045,-0.6376894326211373,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.694544544544545,-0.6374507495231684,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.695045045045045,-0.6372103732106025,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.695545545545546,-0.6369683028381738,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.696046046046046,-0.6367245377822998,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.696546546546546,-0.6364790776417939,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.697047047047047,-0.63623192223845,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.697547547547549,-0.6359830716174755,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.698048048048049,-0.6357325260477722,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.69854854854855,-0.6354802860220754,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
8.69904904904905,-0.6352263522569571,Vass01,Vassilakis (2001),interference,#B50000,3 dB roll-off
