interval,output,model_id,model_label,model_theory,model_colour,timbre_label
8.65,-0.0028442160554763866,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.6505005005005,-0.0028437801974855992,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.651001001001001,-0.002843340648451162,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.651501501501501,-0.0028428973818626522,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.652002002002002,-0.0028424503712669376,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.652502502502504,-0.002841999590276489,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.653003003003004,-0.002841545012577926,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.653503503503504,-0.0028410866119407355,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.654004004004005,-0.0028406243622261696,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.654504504504505,-0.0028401582373963077,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.655005005005005,-0.0028396882115233678,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.655505505505506,-0.0028392142587990777,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.656006006006006,-0.0028387363535443658,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.656506506506506,-0.0028382544702191368,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.657007007007007,-0.0028377685834322297,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.657507507507509,-0.0028372786679516115,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.658008008008009,-0.002836784698714662,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.65850850850851,-0.0028362866508386867,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.65900900900901,-0.0028357844996315857,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.65950950950951,-0.0028352782206026656,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.66001001001001,-0.0028347677894736286,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.66051051051051,-0.002834253182189713,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.661011011011011,-0.002833734374931004,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.661511511511511,-0.0028332113441238605,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.662012012012012,-0.0028326840664525117,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.662512512512514,-0.002832152518870789,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.663013013013014,-0.002831616678614021,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.663513513513514,-0.0028310765232109694,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.664014014014015,-0.0028305320304960026,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.664514514514515,-0.002829983178621306,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.665015015015015,-0.0028294299460692256,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.665515515515516,-0.002828872311664791,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.666016016016016,-0.0028283102545881606,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.666516516516516,-0.0028277437543873544,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.667017017017017,-0.002827172790990943,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.667517517517519,-0.002826597344720869,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.668018018018019,-0.0028260173963052977,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.66851851851852,-0.00282543292689157,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.66901901901902,-0.0028248439180591795,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.66951951951952,-0.002824250351832772,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.67002002002002,-0.0028236522106952176,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.67052052052052,-0.002823049477600678,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.671021021021021,-0.0028224421359876817,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.671521521521521,-0.0028218301697922094,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.672022022022022,-0.002821213563460773,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.672522522522524,-0.002820592301963436,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.673023023023024,-0.002819966370806891,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.673523523523524,-0.002819335756047345,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.674024024024025,-0.0028187004443034893,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.674524524524525,-0.0028180604227693237,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.675025025025025,-0.0028174156792269084,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.675525525525526,-0.0028167662020590254,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.676026026026026,-0.002816111980261762,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.676526526526526,-0.0028154530034568805,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.677027027027027,-0.002814789261904153,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.677527527527529,-0.0028141207465135023,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.678028028028029,-0.0028134474488569795,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.67852852852853,-0.0028127693611805535,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.67902902902903,-0.0028120864764157043,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.67952952952953,-0.0028113987881908495,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.68003003003003,-0.002810706290842514,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.68053053053053,-0.0028100089794262702,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.681031031031031,-0.0028093068497273997,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.681531531531531,-0.002808599898271341,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.682032032032032,-0.002807888122333827,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.682532532532534,-0.0028071715199506912,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.683033033033034,-0.0028064500899274464,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.683533533533534,-0.002805723831848458,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.684034034034035,-0.0028049927460857657,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.684534534534535,-0.0028042568338076715,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.685035035035035,-0.002803516096986797,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.685535535535536,-0.002802770538407848,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.686036036036036,-0.002802020161674968,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.686536536536536,-0.0028012649712186454,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.687037037037037,-0.002800504972302243,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.687537537537539,-0.002799740171028006,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.688038038038039,-0.0027989705743427283,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.68853853853854,-0.002798196190042802,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.68903903903904,-0.00279741702677893,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.68953953953954,-0.0027966330940602407,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.69004004004004,-0.002795844402257971,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.69054054054054,-0.0027950509626085496,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.691041041041041,-0.0027942527872162194,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.691541541541541,-0.002793449889055093,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.692042042042042,-0.002792642281970655,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.692542542542544,-0.0027918299806806886,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.693043043043044,-0.002791013000775729,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.693543543543544,-0.002790191358718753,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.694044044044045,-0.002789365071844481,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.694544544544545,-0.002788534158357949,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.695045045045045,-0.002787698637332563,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.695545545545546,-0.0027868585287074954,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.696046046046046,-0.002786013853284508,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.696546546546546,-0.002785164632724135,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.697047047047047,-0.0027843108895412795,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.697547547547549,-0.0027834526471001275,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.698048048048049,-0.0027825899296085683,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.69854854854855,-0.0027817227621117894,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.69904904904905,-0.002780851170485468,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.69954954954955,-0.002779975181428197,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.70005005005005,-0.0027790948224533196,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.70055055055055,-0.0027782101218801975,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.701051051051051,-0.002777321108824768,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.701551551551551,-0.0027764278131895987,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.702052052052052,-0.002775530265653235,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.702552552552554,-0.002774628497659058,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.703053053053054,-0.0027737225414034253,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.703553553553554,-0.0027728124298233444,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.704054054054055,-0.0027718981965834735,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.704554554554555,-0.0027709798760626124,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.705055055055055,-0.002770057503339644,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.705555555555556,-0.002769131114178898,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.706056056056056,-0.0027682007450149657,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.706556556556556,-0.0027672664329370937,Seth93,Sethares (1993),interference,#B50000,Pure tones
8.707057057057057,-0.002766328215672928,Seth93,Sethares (1993),interference,#B50000,Pure tones
