interval,output,model_id,model_label,model_theory,model_colour,timbre_label
8.65,-0.0027658292402234345,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.6505005005005,-0.0027654032308883766,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.651001001001001,-0.00276497361423926,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.651501501501501,-0.002764540364372208,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.652002002002002,-0.002764103455439462,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.652502502502504,-0.0027636628616575084,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.653003003003004,-0.0027632185573154425,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.653503503503504,-0.0027627705167834584,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.654004004004005,-0.002762318714521584,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.654504504504505,-0.0027618631250885244,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.655005005005005,-0.0027614037231507437,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.655505505505506,-0.002760940483491667,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.656006006006006,-0.002760473381021122,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.656506506506506,-0.0027600023907848985,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.657007007007007,-0.0027595274879744867,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.657507507507509,-0.0027590486479370387,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.658008008008009,-0.0027585658461854387,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.65850850850851,-0.0027580790584085554,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.65900900900901,-0.002757588260481675,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.65950950950951,-0.0027570934284770667,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.66001001001001,-0.0027565945386747483,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.66051051051051,-0.0027560915675733603,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.661011011011011,-0.002755584491901188,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.661511511511511,-0.002755073288627387,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.662012012012012,-0.0027545579349733023,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.662512512512514,-0.002754038408423904,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.663013013013014,-0.0027535146867394373,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.663513513513514,-0.0027529867479670965,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.664014014014015,-0.002752454570452899,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.664514514514515,-0.002751918132853663,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.665015015015015,-0.0027513774141490126,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.665515515515516,-0.0027508323936536725,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.666016016016016,-0.0027502830510295778,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.666516516516516,-0.0027497293662983847,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.667017017017017,-0.0027491713198538044,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.667517517517519,-0.0027486088924741944,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.668018018018019,-0.002748042065335086,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.66851851851852,-0.0027474708200218327,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.66901901901902,-0.0027468951385423244,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.66951951951952,-0.002746315003339658,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.67002002002002,-0.0027457303973049546,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.67052052052052,-0.002745141303790102,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.671021021021021,-0.0027445477066205225,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.671521521521521,-0.002743949590108028,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.672022022022022,-0.0027433469390634934,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.672522522522524,-0.0027427397388096776,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.673023023023024,-0.002742127975193959,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.673523523523524,-0.0027415116346009277,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.674024024024025,-0.0027408907039651064,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.674524524524525,-0.0027402651707833956,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.675025025025025,-0.0027396350231276506,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.675525525525526,-0.0027390002496569216,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.676026026026026,-0.0027383608396298565,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
8.676526526526526,-0.0027377167829167786,Vass01,Vassilakis (2001),interference,#B50000,Pure tones
