interval,output,model_id,model_label,model_theory,model_colour,timbre_label
11.75,-1.5898448365711293e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.7505005005005,-1.589550132810814e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.751001001001,-1.5892529427479103e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.751501501501501,-1.5889532486731037e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.752002002002001,-1.5886510329193035e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.752502502502503,-1.5883462778673016e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.753003003003004,-1.588038965951591e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.753503503503504,-1.5877290796662642e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.754004004004004,-1.5874166015710726e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.754504504504505,-1.5871015142975768e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.755005005005005,-1.5867838005554556e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.755505505505505,-1.5864634431388993e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.756006006006006,-1.586140424933147e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.756506506506506,-1.585814728921123e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.757007007007006,-1.5854863381902252e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.757507507507508,-1.5851552359391944e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.758008008008009,-1.5848214054851138e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.758508508508509,-1.5844848302705292e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.75900900900901,-1.5841454938706734e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.75950950950951,-1.5838033800007922e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.76001001001001,-1.5834584725235964e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.76051051051051,-1.5831107554568005e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.76101101101101,-1.5827602129807732e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.761511511511511,-1.5824068294462872e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.762012012012011,-1.5820505893823688e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.762512512512513,-1.58169147750422e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.763013013013014,-1.5813294787212732e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.763513513513514,-1.580964578145273e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.764014014014014,-1.580596761098498e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.764514514514515,-1.5802260131220216e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.765015015015015,-1.5798523199840624e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.765515515515515,-1.5794756676884043e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.766016016016016,-1.5790960424828828e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.766516516516516,-1.57871343086791e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.767017017017016,-1.5783278196050877e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.767517517517518,-1.5779391957258443e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.768018018018019,-1.5775475465401283e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.768518518518519,-1.577152859645131e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.76901901901902,-1.576755122934036e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.76951951951952,-1.5763543246048197e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.77002002002002,-1.5759504531690307e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.77052052052052,-1.5755434974606204e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.77102102102102,-1.5751334466447442e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.771521521521521,-1.5747202902265903e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.772022022022021,-1.574304018060189e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.772522522522523,-1.5738846203571544e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.773023023023024,-1.5734620876955134e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.773523523523524,-1.5730364110283845e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.774024024024024,-1.572607581692687e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.774524524524525,-1.572175591417757e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.775025025025025,-1.571740432333955e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.775525525525525,-1.5713020969811416e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.776026026026026,-1.5708605783171435e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.776526526526526,-1.5704158697260625e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.777027027027026,-1.5699679650265673e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.777527527527528,-1.5695168584800145e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
11.778028028028029,-1.56906254479849e-4,Seth93,Sethares (1993),interference,#B50000,Pure tones
