interval,output,model_id,model_label,model_theory,model_colour,timbre_label
11.75,96.08242785290884,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.7505005005005,96.08474504952936,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.751001001001,96.08712324548414,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.751501501501501,96.08956372932217,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.752002002002001,96.09206780808893,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.752502502502503,96.09463680727312,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.753003003003004,96.09727207073921,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.753503503503504,96.09997496064378,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.754004004004004,96.10274685733566,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.754504504504505,96.10558915923917,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.755005005005005,96.10850328272035,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.755505505505505,96.11149066193443,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.756006006006006,96.114552748656,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.756506506506506,96.11769101208888,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.757007007007006,96.12090693865707,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.757507507507508,96.12420203177545,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.758008008008009,96.12757781159928,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.758508508508509,96.13103581475305,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.75900900900901,96.13457759403686,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.75950950950951,96.1382047181105,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.76001001001001,96.14191877115458,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.76051051051051,96.1457213525085,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.76101101101101,96.1496140762835,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.761511511511511,96.15359857095179,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.762012012012011,96.15767647891016,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.762512512512513,96.161849456018615,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.763013013013014,96.1661191711117,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.763513513513514,96.17048730548453,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.764014014014014,96.17495555235088,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.764514514514515,96.17952561627386,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.765015015015015,96.18419921256901,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.765515515515515,96.1889780666785,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.766016016016016,96.19386391351698,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.766516516516516,96.19885849678803,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.767017017017016,96.20396356827129,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.767517517517518,96.20918088707946,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.768018018018019,96.21451221888579,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.768518518518519,96.21995933512035,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.76901901901902,96.22552401213667,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.76951951951952,96.23120803034647,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.77002002002002,96.2370131733246,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.77052052052052,96.24294122688158,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.77102102102102,96.2489939781063,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.771521521521521,96.25517321437603,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.772022022022021,96.26148072233626,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.772522522522523,96.2679182868487,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.773023023023024,96.27448768990844,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.773523523523524,96.28119070952935,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.774024024024024,96.28802911859957,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.774524524524525,96.2950046837051,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.775025025025025,96.30211916392437,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.775525525525525,96.30937430959112,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.776026026026026,96.31677186102876,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.776526526526526,96.32431354725449,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.777027027027026,96.3320010846553,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.777527527527528,96.33983617563501,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.778028028028029,96.34782050723425,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.778528528528529,96.35595574972224,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.77902902902903,96.36424355516357,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.77952952952953,96.37268555595838,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.78003003003003,96.38128336335818,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.78053053053053,96.39003856595772,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.78103103103103,96.39895272816435,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.781531531531531,96.40802738864475,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.782032032032031,96.4172640587516,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.782532532532533,96.42666422093073,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.783033033033034,96.43622932710923,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.783533533533534,96.4459607970674,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
11.784034034034034,96.4558600167943,MaMi.CoDi,mami.codi,periodicity,#664433,Pure tones
